name,rank,artist,year,id,length,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo
(When You Gonna) Give It Up To Me,37,"['Sean Paul', 'Keyshia Cole']",2006,6k8uthjEbttfWXcGaNTQGD,243.88,0.711,0.761,8,-3.04,0.225,0.067,0.041,0.718,95.824
Photograph,38,['Nickelback'],2006,3hb2ScEVkGchcAQqrPLP0R,258.92,0.515,0.876,8,-3.756,0.0292,0.000932,0.136,0.385,145.916
Because Of You,39,['Kelly Clarkson'],2006,3f3omU8n47Mqyab5nCaGyT,219.493,0.583,0.584,5,-5.362,0.0314,0.254,0.123,0.136,140.039
Stickwitu,40,['The Pussycat Dolls'],2006,4NjR63Up0uMkQBlKvlZd1l,207.506,0.655,0.54,9,-6.482,0.0516,0.268,0.068,0.43,79.983
My Humps,42,['The Black Eyed Peas'],2006,0T6lVd2JSk7R803PfCXFJS,309.865,0.855,0.487,1,-13.717,0.0998,0.001,0.176,0.379,124.04
Where'd You Go,43,"['Fort Minor', 'Holly Brook']",2006,0jTFr4m2GkqtZCXGOuJRdW,144.733,0.638,0.677,1,-7.805,0.181,0.378,0.16,0.464,95.017
Yo (Excuse Me Miss),44,['Chris Brown'],2006,7DFnq8FYhHMCylykf6ZCxA,229.04,0.536,0.612,4,-5.847,0.272,0.119,0.209,0.57,86.768
Walk Away,45,['Kelly Clarkson'],2006,25sA1vM4BFkTb5cJGWftFo,189.306,0.75,0.888,0,-4.524,0.0426,0.0147,0.0759,0.935,115.973
Laffy Taffy,46,['D4L'],2006,2ajhenDRiiAnCHHjsIOHhJ,224.253,0.891,0.439,7,-7.994,0.428,0.0351,0.0932,0.622,77.499
What You Know,47,['T.I.'],2006,0CAJdthKDdRjB2h8YOguN6,274.333,0.551,0.81,11,-4.365,0.0344,0.0155,0.169,0.332,73.464
Dirty Little Secret,48,['The All-American Rejects'],2006,5lDriBxJd22IhOH9zTcFrV,193.653,0.465,0.954,10,-4.251,0.044,0.000346,0.573,0.458,143.85
Savin' Me,49,['Nickelback'],2006,4Gd9PUEuOTOJtbgd4YxLXM,219.32,0.441,0.815,3,-4.088,0.0276,0.000731,0.414,0.522,164.007
Don't Forget About Us,50,['Mariah Carey'],2006,07o54snAilKYHsW8bGFe9x,216.413,0.486,0.694,0,-5.8,0.141,0.574,0.125,0.248,109.41
Sexy Love,51,['Ne-Yo'],2006,10aWGOqSDBqvNzJ9NeKDbK,220.853,0.693,0.516,8,-6.446,0.0413,0.297,0.0604,0.494,94.02
U And Dat,52,"['E-40', 'T-Pain', 'Kandi Girl']",2006,7g7M96UGiA7OR79H86gV4m,202.72,0.858,0.484,6,-7.448,0.277,0.0241,0.123,0.329,99.992
Far Away,53,['Nickelback'],2006,0ADZ5dmXhlfzjMw6lefoPl,238.173,0.518,0.797,6,-5.153,0.0309,0.000681,0.107,0.293,132.918
What's Left Of Me,54,['Nick Lachey'],2006,1bPqAXwNiVcM6zjJU1Z4Cd,244.666,0.421,0.728,7,-5.644,0.035,0.136,0.136,0.311,150.12
So What,55,"['Field Mob', 'Ciara']",2006,0Uc706myy6Th7I6KQ9xA1x,216,0.931,0.486,6,-10.558,0.139,0.0579,0.161,0.896,120.026
Do It To It,56,"['Cherish', 'Sean Paul ']",2006,6MBEjJlXQYXr8dfxDvZuoA,226.293,0.826,0.67,2,-5.559,0.169,0.00798,0.495,0.794,74.007
Black Horse & The Cherry Tree,57,['KT Tunstall'],2006,0qAMjeQFyd1qD0LDiV8gWp,172.373,0.748,0.786,4,-7.788,0.0641,0.328,0.34,0.917,104.833
There It Go! (The Whistle Song),58,['Juelz Santana'],2006,50UkypyQJbSQLaXHke5Yep,180.493,0.942,0.892,6,-6.363,0.196,0.023,0.264,0.595,100.007
Shoulder Lean,59,"['Young Dro', 'T.I.']",2006,2OqYarizUUGzSSNHPrDEii,258.68,0.7,0.518,4,-7.191,0.177,0.0471,0.1,0.542,75.973
Unpredictable,60,"['Jamie Foxx', 'Ludacris']",2006,3UNrtRxBBlWE70SjxnOo02,219.866,0.734,0.599,9,-8.462,0.197,0.206,0.0555,0.772,145.185
My Love,61,"['Justin Timberlake', 'T.I.']",2006,4NeOWqHmlrGRuBvsLJC9rL,276.16,0.771,0.68,11,-5.881,0.224,0.277,0.682,0.808,119.952
Shake That,62,"['Eminem', 'Nate Dogg']",2006,0fGh0trRN1xz3s41r7V5ce,274.44,0.963,0.643,1,-5.785,0.117,0.0507,0.157,0.534,107.005
Pullin' Me Back,63,"['Chingy', 'Tyrese']",2006,5hF2LnbkpnXCkksMSeWcxZ,234.133,0.786,0.511,7,-6.66,0.286,0.0825,0.12,0.587,80
Bossy,64,"['Kelis', 'Too $hort']",2006,0Eu5SrReZzaJX0NLKI8tQS,274.946,0.906,0.624,4,-5.556,0.179,0.000185,0.0608,0.775,84.009
Chain Hang Low,65,['Jibbs'],2006,0tYPj0NYa7vjlJaqlRSnJb,207.586,0.792,0.589,4,-6.869,0.262,0.0259,0.114,0.778,157.147
Smack That,66,"['Akon', 'Eminem']",2006,2kQuhkFX7uSVepCD3h29g5,212.36,0.939,0.742,5,-5.171,0.0467,0.321,0.107,0.924,118.978
One Wish,67,['Ray J'],2006,5qrzhg9Fmu8Amg2uMhHfe5,337.64,0.525,0.652,5,-7.042,0.28,0.278,0.339,0.602,127.673
"Sugar, We're Goin' Down",68,['Fall Out Boy'],2006,2TfSHkHiFO4gRztVIkggkE,229.093,0.494,0.842,7,-4.784,0.0843,0.00579,0.122,0.574,162.011
Gimme That,69,"['Chris Brown', 'Lil Wayne']",2006,53ETzLQQKFCzykRbqWb1ph,186.826,0.678,0.572,11,-7.033,0.0466,0.00374,0.118,0.444,87.165
I Know You See It,70,"['Yung Joc', ""Brandy 'Ms. B.' Hambrick""]",2006,6giYNaycmjkbf7UmZ6RGtL,241.306,0.744,0.368,1,-6.349,0.0524,0.0702,0.192,0.391,84.018
Who Says You Can't Go Home,71,['Bon Jovi'],2006,5439qJTu5mVH9aeriwp03u,230.28,0.537,0.885,7,-3.641,0.0343,0.0437,0.274,0.802,131.698
Too Little Too Late,72,['JoJo'],2006,3hc7PLcmuZbJGPjhIore1i,223.533,0.394,0.821,6,-4.304,0.0404,0.00302,0.186,0.509,82.764
Touch It,73,['Busta Rhymes'],2006,7uKnsKwXctOfONgecAXpfs,214.96,0.658,0.551,1,-6.62,0.371,0.00423,0.197,0.441,138.345
Rompe,74,['Daddy Yankee'],2006,2Q85xwXagilpHKTfdrbC7M,204.52,0.685,0.859,5,-2.595,0.0553,0.116,0.317,0.891,176.018
Deja Vu,75,"['Beyonce', 'Jay Z']",2006,423EcxblW9F4nnQkqcqMlK,240.28,0.644,0.746,7,-4.941,0.341,0.0071,0.0743,0.355,105.253
Life Is A Highway,76,['Rascal Flatts'],2006,2Fs18NaCDuluPG1DHGw1XG,276.32,0.582,0.952,5,-3.848,0.0731,0.00324,0.223,0.655,103.027
Call Me When You're Sober,77,['Evanescence'],2006,663Karu2rvKLdnY0eo1n3M,214.706,0.45,0.883,7,-4.094,0.0524,0.00193,0.293,0.328,93.41
"Jesus, Take The Wheel",78,['Carrie Underwood'],2006,3lec3CzDPAxsZokPph5w87,226.493,0.359,0.518,2,-3.537,0.0302,0.665,0.106,0.135,76.572
Show Stopper,79,['Danity Kane'],2006,5FRIqUXfTazrtRmYEGO4G0,229.24,0.755,0.408,5,-10.33,0.187,0.0133,0.33,0.465,76.034
Get Up,80,"['Ciara', 'Chamillionaire']",2006,3rKCDtV8UcF0RytSiXxypc,261.88,0.964,0.595,1,-6.887,0.109,0.0248,0.0405,0.629,128.593
We Be Burnin',81,['Sean Paul'],2006,4kOTDj4SiZPkW1p96WMDNv,213.066,0.95,0.803,1,-4.195,0.151,0.145,0.0748,0.86,117
Hate Me,82,['Blue October'],2006,1tL40tfdtUaSLek4DvDDr3,380.2,0.449,0.691,4,-5.65,0.0349,0.477,0.0966,0.201,93.267
You And Me,83,['Lifehouse'],2006,0815caqt2Lytro5EIzMufT,195.493,0.459,0.427,7,-7.734,0.0267,0.114,0.168,0.354,139.902
Beep,84,"['The Pussycat Dolls', 'will.i.am']",2006,5TXNLJ2EENAt3Tf9MX4kT2,229.36,0.935,0.745,7,-6.391,0.0431,0.00914,0.116,0.518,103.691
I Think They Like Me,85,"['Dem Franchize Boyz', 'Jermaine Dupri', 'Da Brat', 'Bow Wow']",2006,5a4AQWs84xeEyYUd1iC2Pn,282.093,0.781,0.625,7,-9.139,0.373,0.00447,0.185,0.679,83.024
